Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-04T06:00:00.0/2021-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T07:00:00.0/2021-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T08:00:00.0/2021-01-04T09:00:00.0;84.7839;38.5558;20.2695;18.2863;248.0457;29.4764;7.9126;21.5638;78.7505;1.0000
2021-01-04T09:00:00.0/2021-01-04T10:00:00.0;237.3185;141.2931;99.4221;41.8710;580.5988;123.5575;86.9903;36.5672;499.1009;1.0000
2021-01-04T10:00:00.0/2021-01-04T11:00:00.0;345.2479;226.8598;176.0386;50.8212;716.1161;193.1626;134.1697;58.9929;554.4682;1.0000
2021-01-04T11:00:00.0/2021-01-04T12:00:00.0;401.1705;273.1308;220.2369;52.8939;772.7032;158.6958;34.1538;124.5420;121.7827;1.0000
2021-01-04T12:00:00.0/2021-01-04T13:00:00.0;401.2767;273.7831;222.8792;50.9038;781.8813;89.5083;0.0000;89.5083;0.0000;1.0000
2021-01-04T13:00:00.0/2021-01-04T14:00:00.0;345.5610;228.8140;183.5300;45.2841;746.4736;119.1320;19.8652;99.2668;79.0775;1.0000
2021-01-04T14:00:00.0/2021-01-04T15:00:00.0;237.8226;144.4868;109.3051;35.1817;639.1429;28.3977;0.0000;28.3977;0.0000;1.0000
2021-01-04T15:00:00.0/2021-01-04T16:00:00.0;85.4290;40.3768;24.3533;16.0235;301.6345;21.2246;0.1159;21.1086;1.4500;1.0000
2021-01-04T16:00:00.0/2021-01-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T17:00:00.0/2021-01-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T18:00:00.0/2021-01-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T19:00:00.0/2021-01-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T20:00:00.0/2021-01-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T21:00:00.0/2021-01-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T22:00:00.0/2021-01-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T23:00:00.0/2021-01-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T00:00:00.0/2021-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T01:00:00.0/2021-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T02:00:00.0/2021-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T03:00:00.0/2021-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T04:00:00.0/2021-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T05:00:00.0/2021-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T06:00:00.0/2021-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T07:00:00.0/2021-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T08:00:00.0/2021-01-05T09:00:00.0;87.0976;43.4468;26.8446;16.6021;331.3752;35.0550;16.0251;19.0299;181.5297;1.0000
2021-01-05T09:00:00.0/2021-01-05T10:00:00.0;239.8070;150.6752;113.5871;37.0881;659.1641;130.6617;93.7130;36.9487;538.0383;1.0000
2021-01-05T10:00:00.0/2021-01-05T11:00:00.0;347.8301;236.9082;190.1149;46.7933;768.1964;217.1969;180.6004;36.5965;728.3278;1.0000
2021-01-05T11:00:00.0/2021-01-05T12:00:00.0;403.8047;282.4081;230.7899;51.6183;804.5704;242.9475;178.6759;64.2716;624.2907;1.0000
2021-01-05T12:00:00.0/2021-01-05T13:00:00.0;403.9178;280.2682;224.8003;55.4680;783.2538;247.2554;193.3442;53.9112;672.9467;1.0000
2021-01-05T13:00:00.0/2021-01-05T14:00:00.0;348.1636;231.4398;176.2207;55.2190;710.5310;196.4120;137.2850;59.1270;558.7783;1.0000
2021-01-05T14:00:00.0/2021-01-05T15:00:00.0;240.3444;143.3952;97.1835;46.2116;559.6455;101.1474;61.5515;39.5959;323.8193;1.0000
2021-01-05T15:00:00.0/2021-01-05T16:00:00.0;87.7974;39.7383;19.5117;20.2266;232.3758;11.9237;0.0000;11.9237;0.0000;1.0000
2021-01-05T16:00:00.0/2021-01-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T17:00:00.0/2021-01-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T18:00:00.0/2021-01-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T19:00:00.0/2021-01-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T20:00:00.0/2021-01-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T21:00:00.0/2021-01-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T22:00:00.0/2021-01-05T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T23:00:00.0/2021-01-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T00:00:00.0/2021-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T01:00:00.0/2021-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T02:00:00.0/2021-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T03:00:00.0/2021-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T04:00:00.0/2021-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T05:00:00.0/2021-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T06:00:00.0/2021-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T07:00:00.0/2021-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T08:00:00.0/2021-01-06T09:00:00.0;89.5998;43.2607;25.6658;17.5949;310.1595;35.6111;17.2008;18.4104;187.8772;1.0000
2021-01-06T09:00:00.0/2021-01-06T10:00:00.0;242.4549;149.2309;110.8761;38.3548;635.7781;94.7009;19.8355;74.8654;127.1070;1.0000
2021-01-06T10:00:00.0/2021-01-06T11:00:00.0;350.5758;235.4957;188.0592;47.4365;753.7421;127.3564;16.5330;110.8234;69.7167;1.0000
2021-01-06T11:00:00.0/2021-01-06T12:00:00.0;406.6046;281.6693;230.3300;51.3392;797.3901;153.9930;34.3903;119.6027;116.7178;1.0000
2021-01-06T12:00:00.0/2021-01-06T13:00:00.0;406.7248;279.7836;224.8468;54.9368;777.9977;162.6169;42.7896;119.8272;145.5626;1.0000
2021-01-06T13:00:00.0/2021-01-06T14:00:00.0;350.9303;231.3106;176.5691;54.7415;706.3314;112.2113;0.0000;112.2113;0.0000;1.0000
2021-01-06T14:00:00.0/2021-01-06T15:00:00.0;243.0263;143.9165;98.0019;45.9147;558.5717;64.3279;0.0000;64.3279;0.0000;1.0000
2021-01-06T15:00:00.0/2021-01-06T16:00:00.0;90.3698;40.9510;20.6764;20.2746;243.0046;23.2573;0.0000;23.2573;0.0000;1.0000
2021-01-06T16:00:00.0/2021-01-06T17:00:00.0;0.0129;0.0013;0.0005;0.0008;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T17:00:00.0/2021-01-06T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T18:00:00.0/2021-01-06T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T19:00:00.0/2021-01-06T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T20:00:00.0/2021-01-06T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
