Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-03T22:00:00.0/2021-01-03T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-03T23:00:00.0/2021-01-04T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T00:00:00.0/2021-01-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T01:00:00.0/2021-01-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T02:00:00.0/2021-01-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T03:00:00.0/2021-01-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T04:00:00.0/2021-01-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T05:00:00.0/2021-01-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T06:00:00.0/2021-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T07:00:00.0/2021-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T08:00:00.0/2021-01-04T09:00:00.0;77.6294;35.8800;20.8673;15.0126;268.7619;26.6164;6.7828;19.8336;84.3701;1.0000
2021-01-04T09:00:00.0/2021-01-04T10:00:00.0;228.4753;136.4879;100.7606;35.7273;612.5495;61.7992;1.5158;60.2834;12.5826;1.0000
2021-01-04T10:00:00.0/2021-01-04T11:00:00.0;335.3918;219.5149;173.5613;45.9536;727.1401;116.8961;4.2481;112.6479;16.4661;1.0000
2021-01-04T11:00:00.0/2021-01-04T12:00:00.0;390.7901;264.0227;213.0583;50.9644;767.4601;159.3890;23.8454;135.5436;86.4240;1.0000
2021-01-04T12:00:00.0/2021-01-04T13:00:00.0;390.8964;263.4530;210.8156;52.6374;759.0785;73.4200;0.0000;73.4200;0.0000;1.0000
2021-01-04T13:00:00.0/2021-01-04T14:00:00.0;335.7053;217.8239;167.5866;50.2373;700.9944;102.5483;2.7139;99.8344;10.7825;1.0000
2021-01-04T14:00:00.0/2021-01-04T15:00:00.0;228.9805;133.8285;92.9212;40.9073;561.5905;33.4036;0.0000;33.4036;0.0000;1.0000
