edition,centre,typeOfLevel,level,dataDate,stepRange,dataType,shortName,packingType,gridType,value1,value2,value3,value4
1,ecmf,surface,0,20210101,17,fc,10v,grid_simple,regular_ll,9999,9999,-5.50069,-5.06416
1,ecmf,surface,0,20210101,17,fc,2t,grid_simple,regular_ll,9999,9999,276.267,275.912
1,ecmf,surface,0,20210101,18,fc,10u,grid_simple,regular_ll,9999,9999,2.84754,2.73718
1,ecmf,surface,0,20210101,18,fc,10v,grid_simple,regular_ll,9999,9999,-5.22372,-4.81357
1,ecmf,surface,0,20210101,18,fc,2t,grid_simple,regular_ll,9999,9999,275.97,275.601
1,ecmf,surface,0,20210101,19,fc,10u,grid_simple,regular_ll,9999,9999,3.36295,3.20182
1,ecmf,surface,0,20210101,19,fc,10v,grid_simple,regular_ll,9999,9999,-5.00931,-4.62357
1,ecmf,surface,0,20210101,19,fc,2t,grid_simple,regular_ll,9999,9999,275.465,275.098
1,ecmf,surface,0,20210101,20,fc,10u,grid_simple,regular_ll,9999,9999,3.39218,3.23593
1,ecmf,surface,0,20210101,20,fc,10v,grid_simple,regular_ll,9999,9999,-4.75359,-4.39421
1,ecmf,surface,0,20210101,20,fc,2t,grid_simple,regular_ll,9999,9999,275.187,274.812
1,ecmf,surface,0,20210101,21,fc,10u,grid_simple,regular_ll,9999,9999,3.44616,3.2821
1,ecmf,surface,0,20210101,21,fc,10v,grid_simple,regular_ll,9999,9999,-4.56111,-4.2242
1,ecmf,surface,0,20210101,21,fc,2t,grid_simple,regular_ll,9999,9999,274.944,274.567
1,ecmf,surface,0,20210101,22,fc,10u,grid_simple,regular_ll,9999,9999,3.39187,3.21755
1,ecmf,surface,0,20210101,22,fc,10v,grid_simple,regular_ll,9999,9999,-4.18488,-3.87531
1,ecmf,surface,0,20210101,22,fc,2t,grid_simple,regular_ll,9999,9999,274.756,274.373
1,ecmf,surface,0,20210101,23,fc,10u,grid_simple,regular_ll,9999,9999,3.12961,2.96701
1,ecmf,surface,0,20210101,23,fc,10v,grid_simple,regular_ll,9999,9999,-3.75903,-3.48657
1,ecmf,surface,0,20210101,23,fc,2t,grid_simple,regular_ll,9999,9999,274.666,274.279
1,ecmf,surface,0,20210101,24,fc,10u,grid_simple,regular_ll,9999,9999,3.04777,2.88811
1,ecmf,surface,0,20210101,24,fc,10v,grid_simple,regular_ll,9999,9999,-3.56305,-3.30426
1,ecmf,surface,0,20210101,24,fc,2t,grid_simple,regular_ll,9999,9999,274.563,274.172
1,ecmf,surface,0,20210102,1,fc,10u,grid_simple,regular_ll,9999,9999,3.03747,2.8739
1,ecmf,surface,0,20210102,1,fc,10v,grid_simple,regular_ll,9999,9999,-3.55713,-3.29834
