Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-01-04T06:00:00.0/2021-01-04T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T07:00:00.0/2021-01-04T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T08:00:00.0/2021-01-04T09:00:00.0;42.8903;16.4976;5.1169;11.3807;85.4100;11.6840;0.0838;11.6002;1.3393;1.0000
2021-01-04T09:00:00.0/2021-01-04T10:00:00.0;179.7759;97.5996;53.9569;43.6427;408.4413;36.2624;0.0000;36.2624;0.0000;1.0000
2021-01-04T10:00:00.0/2021-01-04T11:00:00.0;281.0191;175.9089;115.8322;60.0767;577.7897;86.2595;0.9276;85.3319;4.2466;1.0000
2021-01-04T11:00:00.0/2021-01-04T12:00:00.0;333.4812;219.4865;153.3059;66.1807;646.9609;139.5814;14.7889;124.7924;61.7945;1.0000
2021-01-04T12:00:00.0/2021-01-04T13:00:00.0;333.5889;220.8183;155.6623;65.1560;656.8207;149.1062;27.2942;121.8121;115.1900;1.0000
2021-01-04T13:00:00.0/2021-01-04T14:00:00.0;281.3371;179.2679;121.6547;57.6132;606.7407;82.3512;3.0226;79.3286;13.7083;1.0000
2021-01-04T14:00:00.0/2021-01-04T15:00:00.0;180.2893;101.5807;60.1416;41.4390;456.4242;17.7915;0.0000;17.7915;0.0000;1.0000
2021-01-04T15:00:00.0/2021-01-04T16:00:00.0;43.3600;17.6961;6.4742;11.2220;109.1425;8.4582;0.0000;8.4582;0.0000;1.0000
2021-01-04T16:00:00.0/2021-01-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T17:00:00.0/2021-01-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T18:00:00.0/2021-01-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T19:00:00.0/2021-01-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T20:00:00.0/2021-01-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T21:00:00.0/2021-01-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T22:00:00.0/2021-01-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-04T23:00:00.0/2021-01-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T00:00:00.0/2021-01-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T01:00:00.0/2021-01-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T02:00:00.0/2021-01-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T03:00:00.0/2021-01-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T04:00:00.0/2021-01-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T05:00:00.0/2021-01-05T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T06:00:00.0/2021-01-05T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T07:00:00.0/2021-01-05T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T08:00:00.0/2021-01-05T09:00:00.0;44.6713;18.4038;7.1143;11.2895;118.9902;12.0491;0.6121;11.4371;10.2004;1.0000
2021-01-05T09:00:00.0/2021-01-05T10:00:00.0;182.3092;103.3591;63.1528;40.2063;474.3148;28.3576;0.0000;28.3576;0.0000;1.0000
2021-01-05T10:00:00.0/2021-01-05T11:00:00.0;283.6407;182.1297;127.4798;54.6500;630.5612;74.2288;0.0000;74.2288;0.0000;1.0000
2021-01-05T11:00:00.0/2021-01-05T12:00:00.0;336.1522;224.8475;164.3914;60.4561;688.3018;103.8217;0.0000;103.8217;0.0000;1.0000
2021-01-05T12:00:00.0/2021-01-05T13:00:00.0;336.2669;225.2506;165.7099;59.5407;693.6395;121.9613;26.8955;95.0658;114.1670;1.0000
2021-01-05T13:00:00.0/2021-01-05T14:00:00.0;283.9797;182.9554;130.2709;52.6845;643.8501;103.9827;28.7658;75.2169;135.8959;1.0000
2021-01-05T14:00:00.0/2021-01-05T15:00:00.0;182.8567;104.5543;66.1987;38.3556;496.7973;18.7057;0.0000;18.7057;0.0000;1.0000
2021-01-05T15:00:00.0/2021-01-05T16:00:00.0;45.2108;18.8800;7.7789;11.1011;129.6289;9.5263;0.0000;9.5263;0.0000;1.0000
2021-01-05T16:00:00.0/2021-01-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T17:00:00.0/2021-01-05T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T18:00:00.0/2021-01-05T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T19:00:00.0/2021-01-05T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T20:00:00.0/2021-01-05T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T21:00:00.0/2021-01-05T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T22:00:00.0/2021-01-05T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-05T23:00:00.0/2021-01-06T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T00:00:00.0/2021-01-06T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T01:00:00.0/2021-01-06T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T02:00:00.0/2021-01-06T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T03:00:00.0/2021-01-06T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T04:00:00.0/2021-01-06T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T05:00:00.0/2021-01-06T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T06:00:00.0/2021-01-06T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T07:00:00.0/2021-01-06T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T08:00:00.0/2021-01-06T09:00:00.0;46.6283;19.9929;9.0272;10.9657;148.8983;14.4632;2.2649;12.1983;34.5282;1.0000
2021-01-06T09:00:00.0/2021-01-06T10:00:00.0;185.0069;107.3171;70.8039;36.5132;525.9516;51.7301;0.5586;51.1715;6.1356;1.0000
2021-01-06T10:00:00.0/2021-01-06T11:00:00.0;286.4309;186.6018;138.1223;48.4795;676.7941;113.9626;4.5329;109.4297;21.0587;1.0000
2021-01-06T11:00:00.0/2021-01-06T12:00:00.0;338.9937;229.5679;176.5193;53.0487;732.8859;141.4845;20.9868;120.4977;86.4757;1.0000
2021-01-06T12:00:00.0/2021-01-06T13:00:00.0;339.1157;229.6747;176.7241;52.9505;733.4827;144.1133;29.7948;114.3184;123.4109;1.0000
2021-01-06T13:00:00.0/2021-01-06T14:00:00.0;286.7912;186.8123;138.7568;48.0555;679.1105;146.6511;84.3310;62.3200;420.5553;1.0000
2021-01-06T14:00:00.0/2021-01-06T15:00:00.0;185.5892;107.6965;71.6878;36.0087;531.2490;85.9266;43.4940;42.4326;319.1797;1.0000
2021-01-06T15:00:00.0/2021-01-06T16:00:00.0;47.1988;20.3034;9.4216;10.8818;156.3099;15.0088;2.2877;12.7211;30.3970;1.0000
2021-01-06T16:00:00.0/2021-01-06T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T17:00:00.0/2021-01-06T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T18:00:00.0/2021-01-06T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T19:00:00.0/2021-01-06T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2021-01-06T20:00:00.0/2021-01-06T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
